Date,Open,High,Low,Close,Adj Close,Volume
6/07/2011,12.4625,12.646429,12.3825,12.562857,10.786672,444626000
7/07/2011,12.666786,12.785714,12.642857,12.757143,10.95349,399663600
8/07/2011,12.619286,12.857143,12.578571,12.846786,11.030463,489633200
11/07/2011,12.726429,12.848929,12.600714,12.642857,10.855362,442674400
12/07/2011,12.626071,12.774286,12.450714,12.633929,10.847699,451609200
13/07/2011,12.7975,12.857143,12.727857,12.786429,10.97864,391638800
14/07/2011,12.893214,12.914643,12.726429,12.7775,10.970972,430533600
15/07/2011,12.898929,13.035714,12.8275,13.032857,11.190228,484467200
18/07/2011,13.051071,13.380357,13.045714,13.35,11.462531,572653200
19/07/2011,13.5,13.523214,13.332857,13.458929,11.556054,819145600
20/07/2011,14.147143,14.1525,13.785714,13.817857,11.864239,941340400
21/07/2011,13.819643,13.930714,13.710714,13.831786,11.876198,526534400
22/07/2011,13.868571,14.108929,13.848214,14.046429,12.060494,516728800
25/07/2011,13.941071,14.285714,13.915,14.232143,12.219951,589806000
26/07/2011,14.285714,14.446429,14.274286,14.4075,12.370518,476582400
27/07/2011,14.306786,14.38,14.005357,14.021071,12.038723,659324400
28/07/2011,13.986429,14.178214,13.861786,13.993571,12.015111,594034000
29/07/2011,13.844286,14.1125,13.714286,13.945714,11.974019,632584400
1/08/2011,14.206429,14.267857,14.013214,14.169643,12.166291,612836000
2/08/2011,14.201786,14.210714,13.869643,13.889643,11.925874,639539600
3/08/2011,13.963571,14.055357,13.651429,14.020357,12.038107,732508000
4/08/2011,13.9075,13.975714,13.476786,13.4775,11.572001,871407600
5/08/2011,13.587143,13.696429,12.948929,13.343571,11.457007,1204590800
8/08/2011,12.9175,13.134643,12.607857,12.614643,10.831141,1143833600
9/08/2011,12.903571,13.378929,12.678571,13.3575,11.468967,1082583600
10/08/2011,13.255357,13.380357,12.946429,12.988929,11.152506,878656800
11/08/2011,13.232857,13.408929,13.025714,13.346429,11.459465,741969200
12/08/2011,13.5025,13.558571,13.365357,13.463929,11.56035,528976000
15/08/2011,13.558214,13.748929,13.503214,13.693214,11.757221,460544000
